DCOL-1 - Condenser_Specification_Value,DCOL-1 - Reboiler_Specification_Value,Distillate - Molar Fraction (Overall Liquid) / Benzene (),Bottoms - Molar Fraction (Overall Liquid) / Toluene (),E1 - Energy Flow (kW),E2 - Energy Flow (kW)
1.2,1,0.546505,0.999809,770.004,884.623
1.2,1.5,0.573153,0.999753,732.024,847.19
1.2,2,0.602525,0.999674,693.931,809.684
1.2,2.5,0.635054,0.999558,655.708,772.093
1.2,3,0.671267,0.99938,617.336,734.404
1.36522,1,0.546507,0.999827,827.83,942.449
1.36522,1.5,0.573157,0.999779,786.998,902.164
1.36522,2,0.602532,0.999712,746.043,861.797
1.36522,2.5,0.635069,0.999615,704.949,821.336
1.36522,3,0.671298,0.99947,663.694,780.764
1.53043,1,0.546508,0.999842,885.657,1000.28
1.53043,1.5,0.57316,0.9998,841.972,957.138
1.53043,2,0.602539,0.999743,798.156,913.91
1.53043,2.5,0.635081,0.999661,754.191,870.578
1.53043,3,0.671322,0.99954,710.053,827.124
1.69565,1,0.546509,0.999854,943.483,1058.1
1.69565,1.5,0.573163,0.999818,896.946,1012.11
1.69565,2,0.602544,0.999768,850.269,966.023
1.69565,2.5,0.635091,0.999698,803.433,919.82
1.69565,3,0.671341,0.999596,756.412,873.483
1.86087,1,0.54651,0.999865,1001.31,1115.93
1.86087,1.5,0.573165,0.999833,951.919,1067.09
1.86087,2,0.602548,0.999789,902.382,1018.14
1.86087,2.5,0.6351,0.999729,852.674,969.062
1.86087,3,0.671357,0.999642,802.771,919.843
2.02609,1,0.546511,0.999875,1059.14,1173.75
2.02609,1.5,0.573167,0.999846,1006.89,1122.06
2.02609,2,0.602552,0.999808,954.495,1070.25
2.02609,2.5,0.635107,0.999755,901.916,1018.3
2.02609,3,0.671369,0.999679,849.13,966.203
2.1913,1,0.546512,0.999883,1116.96,1231.58
2.1913,1.5,0.573168,0.999857,1061.87,1177.03
2.1913,2,0.602555,0.999823,1006.61,1122.36
2.1913,2.5,0.635113,0.999776,951.158,1067.55
2.1913,3,0.67138,0.99971,895.489,1012.56
2.35652,1,0.546513,0.99989,1174.79,1289.41
2.35652,1.5,0.57317,0.999867,1116.84,1232.01
2.35652,2,0.602558,0.999836,1058.72,1174.48
2.35652,2.5,0.635118,0.999795,1000.4,1116.79
2.35652,3,0.671389,0.999737,941.849,1058.92
2.52174,1,0.546513,0.999897,1232.61,1347.23
2.52174,1.5,0.573171,0.999876,1171.82,1286.98
2.52174,2,0.60256,0.999848,1110.83,1226.59
2.52174,2.5,0.635122,0.999811,1049.64,1166.03
2.52174,3,0.671397,0.999759,988.208,1105.28
2.68696,1,0.546514,0.999902,1290.44,1405.06
2.68696,1.5,0.573172,0.999883,1226.79,1341.96
